variant,db,file,raw_nfiq2,raw_error,final_nfiq2,final_error,delta_final
minus_p1,DB2_B,103_3.tif,56.0,,43.0,,-13.0
minus_p2,DB2_B,103_3.tif,56.0,,41.0,,-15.0
minus_p6,DB2_B,103_3.tif,56.0,,46.0,,-10.0
minus_p1,DB2_B,103_4.tif,55.0,,60.0,,5.0
minus_p2,DB2_B,103_4.tif,55.0,,57.0,,2.0
minus_p6,DB2_B,103_4.tif,55.0,,59.0,,4.0
minus_p1,DB2_B,103_5.tif,40.0,,45.0,,5.0
minus_p2,DB2_B,103_5.tif,40.0,,53.0,,13.0
minus_p6,DB2_B,103_5.tif,40.0,,56.0,,16.0
minus_p1,DB2_B,103_6.tif,48.0,,46.0,,-2.0
minus_p2,DB2_B,103_6.tif,48.0,,64.0,,16.0
minus_p6,DB2_B,103_6.tif,48.0,,50.0,,2.0
minus_p1,DB2_B,103_7.tif,49.0,,41.0,,-8.0
minus_p2,DB2_B,103_7.tif,49.0,,58.0,,9.0
minus_p6,DB2_B,103_7.tif,49.0,,58.0,,9.0
minus_p1,DB2_B,103_8.tif,38.0,,55.0,,17.0
minus_p2,DB2_B,103_8.tif,38.0,,62.0,,24.0
minus_p6,DB2_B,103_8.tif,38.0,,57.0,,19.0
minus_p1,DB2_B,104_1.tif,58.0,,46.0,,-12.0
minus_p2,DB2_B,104_1.tif,58.0,,67.0,,9.0
minus_p6,DB2_B,104_1.tif,58.0,,63.0,,5.0
minus_p1,DB2_B,104_2.tif,64.0,,55.0,,-9.0
minus_p2,DB2_B,104_2.tif,64.0,,62.0,,-2.0
minus_p6,DB2_B,104_2.tif,64.0,,60.0,,-4.0
minus_p1,DB2_B,104_3.tif,82.0,,59.0,,-23.0
minus_p2,DB2_B,104_3.tif,82.0,,65.0,,-17.0
minus_p6,DB2_B,104_3.tif,82.0,,70.0,,-12.0
minus_p1,DB2_B,104_4.tif,65.0,,60.0,,-5.0
minus_p2,DB2_B,104_4.tif,65.0,,67.0,,2.0
minus_p6,DB2_B,104_4.tif,65.0,,62.0,,-3.0
minus_p1,DB2_B,104_5.tif,54.0,,46.0,,-8.0
minus_p2,DB2_B,104_5.tif,54.0,,65.0,,11.0
minus_p6,DB2_B,104_5.tif,54.0,,53.0,,-1.0
minus_p1,DB2_B,104_6.tif,61.0,,63.0,,2.0
minus_p2,DB2_B,104_6.tif,61.0,,68.0,,7.0
minus_p6,DB2_B,104_6.tif,61.0,,69.0,,8.0
minus_p1,DB2_B,104_7.tif,69.0,,48.0,,-21.0
minus_p2,DB2_B,104_7.tif,69.0,,56.0,,-13.0
minus_p6,DB2_B,104_7.tif,69.0,,48.0,,-21.0
minus_p1,DB2_B,104_8.tif,17.0,,29.0,,12.0
minus_p2,DB2_B,104_8.tif,17.0,,42.0,,25.0
minus_p6,DB2_B,104_8.tif,17.0,,46.0,,29.0
minus_p1,DB2_B,105_1.tif,62.0,,56.0,,-6.0
minus_p2,DB2_B,105_1.tif,62.0,,73.0,,11.0
minus_p6,DB2_B,105_1.tif,62.0,,80.0,,18.0
minus_p1,DB2_B,105_2.tif,63.0,,55.0,,-8.0
minus_p2,DB2_B,105_2.tif,63.0,,62.0,,-1.0
minus_p6,DB2_B,105_2.tif,63.0,,60.0,,-3.0
